rms,mav,zc,ssc,wavelength,participant,muscle_group
850.6390382987971,409.9849907654179,24989,40381,22620212.891765054,subject 19,biceps-isom
1099.8255806933776,454.2833459550359,26710,42843,23935496.366475355,subject 19,biceps-isot
1558.485806962559,468.11359185974027,22607,42312,35687778.7023745,subject 19,triceps-isot
2521.8643138996877,1172.7996821544552,31142,46119,97277151.31081347,subject 19,triceps-isom
738.4920910899507,331.4694074706111,26373,49806,29357664.18173076,subject 19,Gastrocnemius-Medialis-isom
649.4208268463454,251.7688123502001,25271,47791,19350123.690685183,subject 19,Gastrocnemius-Medialis-isot
643.956437472196,306.8472226408082,13951,39824,15905759.470232597,subject 19,Vastus-Medialis-isom
1260.71831573163,391.6361739851884,13494,41386,19785448.767346025,subject 19,Vastus-Medialis-isot
890.4211598742149,423.48751549520364,22962,42508,23067019.590598535,subject 20,biceps-isom
1913.4311938092758,720.5545176251937,22156,38734,39395774.582368836,subject 20,biceps-isot
844.4600260635323,276.91665882180325,17128,44841,20519965.49404388,subject 20,triceps-isot
1007.0030651136026,465.35658198121837,20194,45293,37932183.176399365,subject 20,triceps-isom
1687.7457174159088,725.0166593134084,23343,47868,63572991.67965587,subject 20,Gastrocnemius-Medialis-isom
1024.0275892157467,340.29280790639507,19372,45067,29251007.618470524,subject 20,Gastrocnemius-Medialis-isot
972.9914099292785,435.54043550693365,15757,43035,24002004.681868363,subject 20,Vastus-Medialis-isom
521.0360341946212,196.93476697444208,15487,44501,10842395.941442521,subject 20,Vastus-Medialis-isot
497.38736617420494,229.8037163426389,25940,42680,14844515.756375398,subject 21,biceps-isom
642.9802779119709,275.07741072954934,25794,42578,17749532.326588515,subject 21,biceps-isot
591.8817255960964,337.40897465835144,13784,33136,19353424.350126848,subject 21,triceps-isot
989.2295153965804,569.3799076295792,15328,31921,37548896.71878783,subject 21,triceps-isom
582.9577661549478,250.82374936488242,27849,48781,21151683.792978194,subject 21,Gastrocnemius-Medialis-isom
653.6635431934968,185.7366283935148,38544,55255,14330635.666506315,subject 21,Gastrocnemius-Medialis-isot
400.2809366223923,192.3254743460145,29179,49693,14384568.909293752,subject 21,Vastus-Medialis-isom
458.2448218169877,175.01399924669607,23258,47585,12049311.086263048,subject 21,Vastus-Medialis-isot
568.6321794464592,292.23510506723983,24564,40326,16732766.08755601,subject 22,biceps-isom
724.8476420395689,305.985601095734,27848,45279,18670398.604579203,subject 22,biceps-isot
685.8880873601573,308.89236175538827,24823,47598,23505877.55984394,subject 22,triceps-isot
729.3688701317615,364.30262798536154,24319,43289,29938219.809343617,subject 22,triceps-isom
432.4524490510533,199.3252125841949,39325,52574,22167347.853160333,subject 22,Gastrocnemius-Medialis-isom
717.8820676858046,266.519498918776,36893,52444,27418240.301796094,subject 22,Gastrocnemius-Medialis-isot
599.9275327473559,243.0500531164526,35943,50667,16855207.55999018,subject 22,Vastus-Medialis-isom
265.49530168377265,106.32084271497907,34190,50251,7149110.269075324,subject 22,Vastus-Medialis-isot
1255.0775438179467,557.7716519485666,26971,44178,22708275.010919347,subject 23,biceps-isom
2133.1290129302747,695.0471584573903,29436,44763,36271498.445482664,subject 23,biceps-isot
912.763762614822,375.7940776901125,19851,41274,27537153.520956792,subject 23,triceps-isot
989.813854557276,432.4739904691039,20947,44311,33068033.4340122,subject 23,triceps-isom
326.19721712047584,156.40098896666467,34298,51974,15394234.677905804,subject 23,Gastrocnemius-Medialis-isom
828.9027672799858,266.9055326880046,31204,50196,26886151.095012177,subject 23,Gastrocnemius-Medialis-isot
418.56902656549926,180.95959171445432,34577,49966,12659776.586542826,subject 23,Vastus-Medialis-isom
470.8143937093429,157.24142681088574,30838,50749,9857916.750105739,subject 23,Vastus-Medialis-isot
